Job title ,Hiring Company,Comapny Address,Shift,Links
Sales Representative - Sheikh Zayed,Lux MediCard ,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/JEIO2OPtCiPC-Sales-Representative---Sheikh-Zayed-Lux-MediCard-Giza-Egypt?o=65&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Sales Representative - Giza,Pharaonia Pharma,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/AVUkWfWrZnxS-Medical-Sales-Representative---Giza-Pharaonia-Pharma-Giza-Egypt?o=66&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Manager (Pharma Field / Ortho Field),Phoenix Marketing Group  ,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ljVhvpSQDWdG-Product-Manager-Pharma-Field-Ortho-Field-Phoenix-Marketing-Group-Cairo-Egypt?o=67&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Representative - Alexandria,Lux MediCard ,"Cleopatra, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/LwOvJSghnV9e-Sales-Representative---Alexandria-Lux-MediCard-Alexandria-Egypt?o=68&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pDftMfnd5VNb-Medical-Representative-Cairo-Egypt?o=69&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Distribution Officer,Pharma Mix,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/Hw9qQawaOHXf-Distribution-Officer-Pharma-Mix-Giza-Egypt?o=70&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Dokki/Mohandessin - Pedia,Splendid Pharma,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/mU2jX7n4VN9V-Medical-Representative---DokkiMohandessin---Pedia-Splendid-Pharma-Giza-Egypt?o=71&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Dokki/Mohandessin - Derma,Splendid Pharma,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/l5eaqVcHSZRi-Medical-Representative---DokkiMohandessin---Derma-Splendid-Pharma-Giza-Egypt?o=72&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Manager,Veexia,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/BxubqRs4KFYk-Sales-Manager-Veexia-Cairo-Egypt?o=73&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Area Manager,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1HgCYc3Y7VdN-Area-Manager-Cairo-Egypt?o=74&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative,Veexia,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/g3T6vmK7YBV1-Medical-Representative-Veexia-Cairo-Egypt?o=75&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Specialist,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/OsFLEsXHqSxA-Sales-Specialist-Cairo-Egypt?o=76&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Tender Representative - Mansoura,Delta Pharma Egypt,"Mansoura, Dakahlia, Egypt ",Full time,https://wuzzuf.net/jobs/p/grMeKi1032mp-Tender-Representative---Mansoura-Delta-Pharma-Egypt-Dakahlia-Egypt?o=77&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Tender Representative - Cairo,Delta Pharma Egypt,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/O1iiFFD3Jtdk-Tender-Representative---Cairo-Delta-Pharma-Egypt-Cairo-Egypt?o=78&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
