Job title ,Hiring Company,Comapny Address,Shift,Links
Senior Full Stack .Net Developer,GET Group- Egypt,"Sheraton, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/yRyD9keDATNh-Senior-Full-Stack-Net-Developer-GET-Group--Egypt-Cairo-Egypt?o=56&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Technical Manager ( Java Developer),Beyond Apps Group,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/nliIQC9NCb9L-Technical-Manager-Java-Developer-Beyond-Apps-Group-Cairo-Egypt?o=57&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Communications Field Engineer,JRM for Communications,"Nasr City, Cairo, Egypt ",Freelance / Project,https://wuzzuf.net/jobs/p/rpKtB5INirwC-Communications-Field-Engineer-JRM-for-Communications-Cairo-Egypt?o=58&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior iOS Developer,Reach,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/5aR1199JcWKT-Senior-iOS-Developer-Reach-Cairo-Egypt?o=59&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Software Engineer - Unity,Confidential -,"Agouza, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/avrjaIPyPlmm-Software-Engineer---Unity-Giza-Egypt?o=60&l=sp&t=sj&a=data science|search-v3|hpb|spbg
IT Manager,Confidential -,"Sheraton, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/mMuxcRiGqvar-IT-Manager-Cairo-Egypt?o=61&l=sp&t=sj&a=data science|search-v3|hpb|spbg
AX Developer,Allamna Integrated Solutions,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/uBaRPPSKd7PM-AX-Developer-Allamna-Integrated-Solutions-Cairo-Egypt?o=62&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Data Annotation - Intern,Master Linux,"Heliopolis, Cairo, Egypt ",Internship,https://wuzzuf.net/jobs/p/fBOSUUs7lpTz-Data-Annotation---Intern-Master-Linux-Cairo-Egypt?o=63&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Business Analyst / Product Owner,New Innovation Technologies,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/O1pRBhfiCYmd-Senior-Business-Analyst-Product-Owner-New-Innovation-Technologies-Cairo-Egypt?o=64&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Data Analytics Manager,Allianz,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/IlSlIA6F8Bnl-Data-Analytics-Manager-Allianz-Cairo-Egypt?o=65&l=sp&t=sj&a=data science|search-v3|hpb|spbg
