Job title ,Hiring Company,Comapny Address,Shift,Links
Assistant Lecturer - HRM,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/HrB6B4ivJOFP-Assistant-Lecturer---HRM-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=57&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Financial Aid Officer,GUC,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/aCeMi1vFO70q-Financial-Aid-Officer-GUC-Cairo-Egypt?o=58&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Domestic Sales Specialist (Customer Services),Bericap,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/s4GcKacFwy9T-Domestic-Sales-Specialist-Customer-Services-Bericap-Giza-Egypt?o=59&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Chinese Instructor,Gateway School,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/LRDzhukV70uk-Chinese-Instructor-Gateway-School-Cairo-Egypt?o=60&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Spanish Instructor,Gateway School,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/vpblNYuxvOTL-Spanish-Instructor-Gateway-School-Cairo-Egypt?o=61&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer - Economics & Finance,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ydwDPuHqlo5t-Assistant-Lecturer---Economics-Finance-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=62&l=sp&t=sj&a=academic|search-v3|hpb|spbg
IG Coordinator,Manhattan Schools,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/aO2HwNhJOcwu-IG-Coordinator-Manhattan-Schools-Cairo-Egypt?o=63&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Executive Secretary,Egyptian Cultural Center,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/TsHEmQqB6lxf-Executive-Secretary-Egyptian-Cultural-Center-Cairo-Egypt?o=64&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Domestic Sales Engineer,Bericap,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/nbJiovfsrZBI-Domestic-Sales-Engineer-Bericap-Giza-Egypt?o=65&l=sp&t=sj&a=academic|search-v3|hpb|spbg
High School English Teacher,New Generation International Schools ,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/tN4cNP5pKOk3-High-School-English-Teacher-New-Generation-International-Schools-Cairo-Egypt?o=66&l=sp&t=sj&a=academic|search-v3|hpb|spbg
English Teacher,IBI-Egypt,"Giza, Giza, Egypt ",Part time,https://wuzzuf.net/jobs/p/p1lval2i2Czi-English-Teacher-IBI-Egypt-Giza-Egypt?o=67&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Export Sales Specialist,Bericap,"6th of October, Giza, Egypt ",Shift based,https://wuzzuf.net/jobs/p/dyIByqDkTOb5-Export-Sales-Specialist-Bericap-Giza-Egypt?o=68&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Teaching Assistant - Mechanical - Cairo,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/3cnWzJGwOqXY-Teaching-Assistant---Mechanical---Cairo-Cairo-Egypt?o=69&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Teaching Assistant - Electrical - Cairo,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/o5Mc0ecF3cKi-Teaching-Assistant---Electrical---Cairo-Cairo-Egypt?o=70&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Teaching Assistant - Civil,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/TYG5CGqCMuZy-Teaching-Assistant---Civil-Cairo-Egypt?o=71&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer in Interior Architecture and Design,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/MmI4Pwf0hxMj-Assistant-Lecturer-in-Interior-Architecture-and-Design-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=72&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Software Engineering Team Leader,360Imaging,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6xUxxSsR8EQH-Software-Engineering-Team-Leader-360Imaging-Giza-Egypt?o=73&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Technical Sales Engineer (Lubricant Products) - 6th of October City,Industrial Services Center - Datco,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/d2TKwLnzyuJo-Technical-Sales-Engineer-Lubricant-Products---6th-of-October-City-Industrial-Services-Center---Datco-Giza-Egypt?o=74&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer in Computing/Computer Science,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Work from home,https://wuzzuf.net/jobs/p/PrMYQo4Uo1aE-Assistant-Lecturer-in-ComputingComputer-Science-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=75&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Music Instructor,Gateway School,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/bdQitxZcB0Id-Music-Instructor-Gateway-School-Cairo-Egypt?o=76&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer in Psychology,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/hXBJEQvRZjm4-Assistant-Lecturer-in-Psychology-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=77&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Teaching Assistant - Mechanical,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ZL9FVAm4sOXN-Teaching-Assistant---Mechanical-Cairo-Egypt?o=78&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Teaching Assistant - Electrical,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Fo29x83KjTvr-Teaching-Assistant---Electrical-Cairo-Egypt?o=79&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Teaching Assistant - Communiaction,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/iRSet833AbHm-Teaching-Assistant---Communiaction-Cairo-Egypt?o=80&l=sp&t=sj&a=academic|search-v3|hpb|spbg
IOS Developer,Jumia,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/wS4UlbBYQHNW-IOS-Developer-Jumia-Cairo-Egypt?o=81&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Marketing Manager - Real Estate (New Capital),Capital Link Developments,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/tgZbq9l4rSCf-Marketing-Manager---Real-Estate-New-Capital-Capital-Link-Developments-Cairo-Egypt?o=82&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Technical Sales Engineer (Lubricant Products) - Upper of Egypt,Industrial Services Center - Datco,"Assiut, Egypt ",Full time,https://wuzzuf.net/jobs/p/GWI1wIXr94PO-Technical-Sales-Engineer-Lubricant-Products---Upper-of-Egypt-Industrial-Services-Center---Datco-Assiut-Egypt?o=83&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Admin,04 Academy,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/jkeikDshDsq6-Admin-04-Academy-Cairo-Egypt?o=84&l=sp&t=sj&a=academic|search-v3|hpb|spbg
"Instructor, Procurement And Commercial Contracts Management",TASK,"Cairo, Egypt ",Work from home,https://wuzzuf.net/jobs/p/klVmDrKhjaNT-Instructor-Procurement-And-Commercial-Contracts-Management-TASK-Cairo-Egypt?o=85&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Career Advisor Officer,Ghabbour Auto,"Abu Rawash, Giza, Egypt ",Part time,https://wuzzuf.net/jobs/p/bNsJ6L3HzqGm-Career-Advisor-Officer-Ghabbour-Auto-Giza-Egypt?o=86&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Education Counsellor,Global Study UK,"Heliopolis, Cairo, Egypt ",Freelance / Project,https://wuzzuf.net/jobs/p/0O4BdOL7kI9c-Education-Counsellor-Global-Study-UK-Cairo-Egypt?o=87&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Product Development Manager,SAVOLA,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/uERePS52CWum-Product-Development-Manager-SAVOLA-Cairo-Egypt?o=88&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Marketing Supervisor,Confidential -,"Haram, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/p3xkCyprSTid-Marketing-Supervisor-Giza-Egypt?o=89&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Marketing Specialist (Based In Cairo),Elkenany Group,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/39Q2JofkJ221-Marketing-Specialist-Based-In-Cairo-Elkenany-Group-Cairo-Egypt?o=90&l=sp&t=sj&a=academic|search-v3|hpb|spbg
"Instructor, Supply Chain And Logistics Management",TASK,"Cairo, Egypt ",Part time,https://wuzzuf.net/jobs/p/sHYtO1EFaVwE-Instructor-Supply-Chain-And-Logistics-Management-TASK-Cairo-Egypt?o=91&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Sales Director (Commercial Director),Bericap,"6th of October, Giza, Egypt ",Freelance / Project,https://wuzzuf.net/jobs/p/U1DXgFL94v7u-Sales-Director-Commercial-Director-Bericap-Giza-Egypt?o=92&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Education Counsellor ( Alexandria ),Global Study UK,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/bVkCjksfD1DL-Education-Counsellor-Alexandria-Global-Study-UK-Alexandria-Egypt?o=93&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Education Counsellor - Maadi,Global Study UK,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Jiw4XgFouaXw-Education-Counsellor---Maadi-Global-Study-UK-Cairo-Egypt?o=94&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Lead Generation Intern,YallaSa7el,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/XWk5ClnljotG-Lead-Generation-Intern-YallaSa7el-Cairo-Egypt?o=95&l=sp&t=sj&a=academic|search-v3|hpb|spbg
